name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation,major_classification,subclass_category,country,country_abrv,pop_density_km_squared,pop_density_mi_squared,1950_pop_thousands,2000_pop_thousands,2015_pop_thousands
Sayh al Uhaymir 306,34055,Valid,LL~5,3.8,Found,2004.0,21.00825,57.3327,"(21.00825, 57.3327)",Chondrite,LL,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 307,34056,Valid,L~6,1.2,Found,2004.0,21.00295,57.327380000000005,"(21.00295, 57.32738)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 308,34057,Valid,L5,313.0,Found,2004.0,21.06417,57.298869999999994,"(21.06417, 57.29887)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 309,34536,Valid,L6,714.0,Found,2005.0,20.927670000000003,57.28233,"(20.92767, 57.28233)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 310,34537,Valid,L6,94.0,Found,2001.0,21.2,57.1,"(21.2, 57.1)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 311,34538,Valid,H4,214.0,Found,2004.0,21.00167,57.31166999999999,"(21.00167, 57.31167)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 312,34539,Valid,L6,278.0,Found,2004.0,20.61167,56.755,"(20.61167, 56.755)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 313,34540,Valid,H4,412.0,Found,2004.0,20.68,56.815,"(20.68, 56.815)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 314,34541,Valid,H5,4.0,Found,2004.0,21.011670000000002,57.31166999999999,"(21.01167, 57.31167)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 315,34542,Valid,H6,6.0,Found,2004.0,21.01333,57.315,"(21.01333, 57.315)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 316,34543,Valid,L4,10.0,Found,2004.0,21.005,57.31166999999999,"(21.005, 57.31167)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 317,34544,Valid,H5,8.0,Found,2004.0,20.995,57.32666999999999,"(20.995, 57.32667)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 318,34545,Valid,H5,70.0,Found,2004.0,20.99833,57.31166999999999,"(20.99833, 57.31167)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 319,34546,Valid,H5,550.0,Found,2004.0,21.09,57.25833000000001,"(21.09, 57.25833)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 320,34547,Valid,H6,18.0,Found,2004.0,21.075,57.26333,"(21.075, 57.26333)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 321,34548,Valid,L5,220.0,Found,2004.0,21.098329999999997,57.278330000000004,"(21.09833, 57.27833)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 322,34549,Valid,H5,468.0,Found,2005.0,21.06,57.29667,"(21.06, 57.29667)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 323,34550,Valid,H6,112.0,Found,2001.0,20.99667,57.33,"(20.99667, 57.33)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 324,34551,Valid,H/L6,42.0,Found,2002.0,20.99667,57.316669999999995,"(20.99667, 57.31667)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 325,34552,Valid,H5,76.0,Found,2004.0,21.005,57.325,"(21.005, 57.325)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 326,34553,Valid,L6,1352.0,Found,2004.0,21.008329999999997,57.31,"(21.00833, 57.31)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 400,35691,Valid,L6,45.59,Found,2004.0,20.53578,56.6709,"(20.53578, 56.6709)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 401,35692,Valid,L4,24.5,Found,2004.0,20.5429,56.63808,"(20.5429, 56.63808)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 402,36587,Valid,Enst achon-ung,78.0,Found,2004.0,21.07694,57.26971999999999,"(21.07694, 57.26972)",Achondrite,achon,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 403,35693,Valid,L5,182.4,Found,2003.0,20.52808,56.6753,"(20.52808, 56.6753)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 404,35694,Valid,L6,97.27,Found,2003.0,20.03577,57.220380000000006,"(20.03577, 57.22038)",Chondrite,L,Oman,OM,16.0,6.0,456,2538,4110
Sayh al Uhaymir 405,35695,Valid,H4-5,76.04,Found,2003.0,20.19485,57.2022,"(20.19485, 57.2022)",Chondrite,H,Oman,OM,16.0,6.0,456,2538,4110
